TripID,StartDate,StartTime,EndDate,EndTime,TripDuration,TripDistance,StartLatitude,StartLongitude,EndLatitude,EndLongitude,DayOfWeek,HourNum
dd62d00f-11cf-5a7b-b6df-a1917e90eb09,2/1/2020,8:15,2/1/2020,8:30,14,1.358,38.233,-85.741,38.245,-85.759,7,8
ea963a4b-b2b9-5ab9-8442-cbff3878e32c,2/1/2020,8:30,2/1/2020,8:45,6,0.195,38.257,-85.756,38.255,-85.758,7,8
d081f7b8-5d6f-54a8-adf1-fa2c931b8440,2/1/2020,8:45,2/1/2020,8:45,3,0.118,38.256,-85.757,38.257,-85.757,7,8
135100da-29e7-5e7b-b150-73784e2d983f,2/1/2020,9:00,2/1/2020,9:00,3,0.252,38.217,-85.763,38.22,-85.762,7,9
2fea57ae-fb0e-5538-85a3-749d4854cfcd,2/1/2020,9:15,2/1/2020,9:30,16,0.434,38.224,-85.759,38.228,-85.758,7,9
bdc0f72a-cfef-52a7-a155-58041186c8a6,2/1/2020,9:15,2/1/2020,9:15,3,0.285,38.22,-85.762,38.217,-85.762,7,9
d910e97a-dd0b-5c70-9cd8-6753364d530a,2/1/2020,9:30,2/1/2020,9:30,4,0.403,38.249,-85.757,38.254,-85.759,7,9
c8d83eb7-3ca0-56cf-b8a1-1a5df6e9a4f3,2/1/2020,9:45,2/1/2020,9:45,2,0.631,38.217,-85.762,38.22,-85.762,7,9
2d04eb6c-e36c-5ded-9910-e39eb05c88e0,2/1/2020,10:00,2/1/2020,10:00,2,0.288,38.22,-85.762,38.217,-85.762,7,9
5f4a82d8-0a5e-50ba-8879-b6f34260b323,2/1/2020,10:45,2/1/2020,10:45,3,0.502,38.221,-85.763,38.218,-85.757,7,10
44ed3162-0fc6-5a62-8e2c-39fe823fb7ec,2/1/2020,10:45,2/1/2020,10:45,7,1.28,38.252,-85.74,38.241,-85.727,7,10
5913ccbb-7e9c-5d81-ad6e-5865e4b84fbe,2/1/2020,10:45,2/1/2020,11:00,8,2.073,38.223,-85.76,38.244,-85.756,7,10
ca447fab-2d15-51b6-8a92-ae7a73bacf5c,2/1/2020,10:45,2/1/2020,11:00,4,0.606,38.224,-85.768,38.227,-85.765,7,10
6dde2bed-53b6-5c50-af54-050db3efcefe,2/1/2020,11:00,2/1/2020,11:00,1,0.033,38.255,-85.741,38.255,-85.741,7,10
94519579-6123-5da7-ae65-d35d10be57a7,2/1/2020,11:00,2/1/2020,11:15,14,0.686,38.249,-85.758,38.256,-85.753,7,11
84314b07-ecd7-51bb-86e4-e37f137712f0,2/1/2020,11:00,2/1/2020,11:00,2,0.35,38.256,-85.746,38.256,-85.752,7,11
548cff1b-fac6-55f1-917e-438e7d8fdd8a,2/1/2020,11:00,2/1/2020,11:15,7,1.476,38.23,-85.752,38.25,-85.75,7,11
98ddd2a8-2a29-5f5c-b377-d1b730acdd42,2/1/2020,11:15,2/1/2020,11:15,6,0.302,38.254,-85.757,38.256,-85.752,7,11
58804569-23e9-58dc-8213-ac589ca8c633,2/1/2020,11:15,2/1/2020,11:15,8,1.205,38.219,-85.759,38.217,-85.741,7,11
7cf0946e-5a4f-564d-a714-2d408b41f0f2,2/1/2020,11:15,2/1/2020,11:30,11,0.007,38.255,-85.741,38.255,-85.741,7,11
48a37ef7-828e-5042-a272-bf50b1bee972,2/1/2020,11:30,2/1/2020,11:30,1,0.127,38.257,-85.759,38.257,-85.761,7,11
c6b46339-6bce-56a7-8003-9acdcf2d9b74,2/1/2020,11:30,2/1/2020,11:45,2,0.011,38.257,-85.762,38.257,-85.762,7,11
47b2ad0f-e842-5cd6-9670-ff2b8f75d684,2/1/2020,11:30,2/1/2020,11:30,6,0.709,38.254,-85.758,38.249,-85.755,7,11
70792c2e-f48a-5240-8438-a79038e9e75b,2/1/2020,11:30,2/1/2020,11:45,10,1.413,38.222,-85.75,38.205,-85.76,7,11
bc54f727-33e4-5977-ab19-a335a3792ca0,2/1/2020,11:30,2/1/2020,11:45,10,0.628,38.256,-85.753,38.255,-85.757,7,11
26828307-1cdd-5b03-a179-0bffdffd14db,2/1/2020,11:30,2/1/2020,12:00,21,0.312,38.256,-85.752,38.255,-85.757,7,11
10d9cb3d-5725-5ca3-b864-7ce67d316a99,2/1/2020,11:45,2/1/2020,12:00,5,0.354,38.254,-85.757,38.249,-85.758,7,11
2931524e-672d-5304-b790-9c9150e3fae6,2/1/2020,11:45,2/1/2020,12:15,31,2.99,38.229,-85.767,38.229,-85.738,7,11
acb76cfc-c260-5dd8-9b12-7323209a5a1e,2/1/2020,11:45,2/1/2020,11:45,4,0.235,38.258,-85.756,38.26,-85.752,7,11
fbdde870-5cb8-5d06-b0e1-4824b4bcc00d,2/1/2020,11:45,2/1/2020,11:45,1,0.097,38.218,-85.763,38.219,-85.763,7,11
7a55d753-fbf5-54b2-b277-9d3a8f7bba06,2/1/2020,12:00,2/1/2020,12:15,9,1.721,38.211,-85.747,38.226,-85.763,7,11
289dfab7-9da6-5628-85ab-20cead96f0fc,2/1/2020,12:00,2/1/2020,12:15,13,1.636,38.231,-85.756,38.231,-85.735,7,11
89a1f503-1d26-5257-84d6-ca4c1e7227bd,2/1/2020,12:00,2/1/2020,12:15,15,1.858,38.256,-85.756,38.255,-85.746,7,11
0734d83a-1f99-508e-a7bf-84291d0f6d9f,2/1/2020,12:00,2/1/2020,12:00,4,0.034,38.218,-85.763,38.219,-85.763,7,11
3abbbcff-b3e8-598c-9786-ef9218546c95,2/1/2020,12:00,2/1/2020,12:00,2,0.18,38.254,-85.754,38.253,-85.757,7,12
b0fdb419-f8f6-514b-b540-f9e1bc95e255,2/1/2020,12:15,2/1/2020,12:30,2,0.296,38.22,-85.745,38.223,-85.748,7,12
dda70d39-2b32-57ce-a9a3-d612ae0e0eca,2/1/2020,12:15,2/1/2020,12:45,15,0.321,38.218,-85.765,38.217,-85.771,7,12
22314d90-3407-582f-a489-066fecff5115,2/1/2020,12:15,2/1/2020,12:15,8,0.019,38.253,-85.757,38.253,-85.757,7,12
1496e4dd-ee6e-5dc8-8f64-0225c9aa033b,2/1/2020,12:15,2/1/2020,12:30,15,0.379,38.221,-85.763,38.22,-85.769,7,12
18c7d740-b888-520e-b354-0f9863c2be39,2/1/2020,12:45,2/1/2020,13:00,15,1.612,38.249,-85.755,38.24,-85.735,7,12
92551854-d4d3-5441-9d77-222e2d039314,2/1/2020,12:45,2/1/2020,13:00,14,0.019,38.249,-85.757,38.249,-85.757,7,12
05bbf5a0-eead-5385-94a5-e7dcacaad143,2/1/2020,12:45,2/1/2020,12:45,8,1.306,38.248,-85.752,38.229,-85.755,7,12
d381bd25-edc5-5e00-8c72-2b3049fb4a33,2/1/2020,12:45,2/1/2020,12:45,7,0.833,38.219,-85.763,38.21,-85.757,7,12
0d08f423-08db-5503-a5f8-a9ba15262b8e,2/1/2020,13:00,2/1/2020,13:15,10,0.229,38.217,-85.756,38.215,-85.753,7,13
5a3f534c-08d7-55e6-bd6e-6d42f7f4f635,2/1/2020,13:15,2/1/2020,13:30,4,0.361,38.245,-85.739,38.245,-85.745,7,13
8dd98c76-2a0e-5954-94f2-f3fa22b327c4,2/1/2020,13:15,2/1/2020,14:45,77,2.495,38.258,-85.742,38.257,-85.754,7,13
214ea591-6ae0-5f12-b48b-7f4a8084b10b,2/1/2020,13:15,2/1/2020,13:15,3,0.59,38.221,-85.764,38.217,-85.759,7,13
1c884c95-9787-5867-80fd-fc12b0b4f686,2/1/2020,13:30,2/1/2020,13:30,4,0.247,38.257,-85.746,38.256,-85.747,7,13
25193691-5a35-5faa-82a2-2e38a79b5081,2/1/2020,13:30,2/1/2020,13:30,1,0.178,38.256,-85.747,38.256,-85.748,7,13
085c8530-1485-5607-95c9-07997ffd0667,2/1/2020,13:45,2/1/2020,13:45,6,0.827,38.208,-85.755,38.218,-85.76,7,13
55c2537d-2203-534a-bd97-5effb5fd26a3,2/1/2020,13:45,2/1/2020,14:00,5,0.762,38.246,-85.73,38.243,-85.727,7,13
1e496d01-a8e6-5b82-bf40-8cdf5593f46a,2/1/2020,13:45,2/1/2020,13:45,12,0.805,38.241,-85.738,38.238,-85.73,7,13
15f589aa-551d-5d1d-adee-c183da8da3a9,2/1/2020,13:45,2/1/2020,13:45,11,0.701,38.239,-85.737,38.237,-85.729,7,13
66b84dac-f5ab-53e4-9d27-0813093a1249,2/1/2020,13:45,2/1/2020,13:45,2,0.237,38.217,-85.762,38.217,-85.759,7,13
e3d0580b-b09a-5f91-a746-7e9584cd1f9a,2/1/2020,14:00,2/1/2020,14:00,3,0.526,38.219,-85.763,38.226,-85.761,7,13
